O*NET-SOC Code,Title,oral_comprehension,oral_expression,fluency_of_ideas,originality,problem_sensitivity,deductive_reasoning,information_ordering,mathematical_reasoning,perceptual_speed,visualization,selective_attention,time_sharing,arm_hand_steadiness,finger_dexterity,multilimb_coordination,response_orientation,rate_control,reaction_time,wrist_finger_speed,speed_of_limb_movement,stamina,extent_flexibility,dynamic_flexibility,sound_localization,speech_clarity,label_ML,probability_ML
11-1021.00,General and Operations Managers,4.12,4.12,3.38,3.5,4.12,4.12,3.62,3.12,2.25,2.75,2.88,2.88,0.88,0.5,0.5,0,0,0.62,0.88,0,0.88,0.25,0,0.25,3.62,NA,
29-1216.00,General Internal Medicine Physicians,4.88,5,3.88,3.62,5.62,5,4.12,3,3.25,2.88,3.12,3,2.75,3,0.88,0,0.25,0.25,0.38,0.62,1,0.62,0,0,3.75,NA,
29-9092.00,Genetic Counselors,4.88,5,3.25,3.12,4,4.62,4,3.12,3,2.62,2.88,2.75,0,2.25,0,0,0,0,0,0,0,0,0,0,3.5,NA,
19-1029.03,Geneticists,5,5,4.12,4,4.75,4.75,4,4,2.88,2.88,2.88,2.62,1.88,2.25,0.75,0.25,0,0.62,1.5,0,0,0,0,0,3.88,NA,
17-1022.01,Geodetic Surveyors,4.88,4.62,3.12,2.88,4,4.12,4,4.75,3.12,3.62,3,2.62,2.88,2.75,2.25,1.5,1.25,1.75,1,0.25,1.25,1.38,0,0.62,3.12,NA,
19-3092.00,Geographers,4.75,5,3.5,3.38,3.75,4.12,4,3.25,3.12,3.12,2.88,2.38,0.12,0.38,0,0,0,0,0.38,0,0,0.12,0,0,4.38,NA,
15-1299.02,Geographic Information Systems Technologists and Technicians,4.5,4,3.38,3.25,3.63,4,4,3.87,2.94,3.44,3.06,2.31,1.88,2.56,0.25,0.12,0.19,0.25,0.43,0.06,0.06,0.12,0,0.12,3.12,NA,
25-1064.00,"Geography Teachers, Postsecondary",4.88,4.88,3.62,3.62,3.25,3.88,3.62,2.88,2.12,2.38,2.75,2.12,0,0.75,0,0,0,0,0,0,0,0,0,0,4.62,NA,
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",4.19,4.12,2.62,2.81,3.44,3.56,3.56,2.94,2.81,3,2.88,2.25,2.62,2.88,2.06,1.5,1.44,1.75,1.56,0.81,1.12,1.56,0.12,0.88,2.94,NA,
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",5.12,5,3.88,3.38,4.25,4.38,4.12,4.25,3,3.25,2.88,2,1.75,1.5,2,1.12,0.88,1,1.25,0.38,0.88,0.75,0,0.62,4.12,NA,
11-3051.02,Geothermal Production Managers,4.38,4.25,3.38,3.25,4.12,4,3.62,3.75,3.25,3,3.25,2.5,2.25,2.75,2.12,1.62,1.5,2.38,0.38,1.12,0.12,0.5,0.38,1.12,3.38,NA,
49-9099.01,Geothermal Technicians,3.75,3.62,3,2.88,3.75,3.38,3.12,3,3.88,3.75,3.75,3,3.12,3.12,3.5,2.75,3,3.25,2,1.75,2,3.12,0.5,2,2.62,NA,
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",3.12,3,2.88,2.75,3,2.88,3,2.12,3.12,3.88,3.5,2.75,4,3.62,3.12,2.62,3,3.5,2.62,1.62,2,2.38,0,0.62,2.75,NA,
47-2121.00,Glaziers,3.5,3,2.12,2,3,3,3,2,2.25,3.12,3,2.25,3.25,3,3.12,2.12,1.5,2.25,1.75,1.38,2.75,3.12,0.25,1,3,NA,
13-1041.04,Government Property Inspectors and Investigators,4,4,3.38,3,4.25,4.25,4,3,3.38,3.25,3,3.12,2.38,2.38,2.25,2.12,1.62,1.75,1,1,1.38,1.5,0,1.38,3.88,NA,
45-2041.00,"Graders and Sorters, Agricultural Products",2.88,2.62,0.5,0.62,2.25,2.12,1.88,0.75,1.5,0.88,2.12,1,2.5,2.75,2.12,0.38,1.62,1.75,1,0.38,1.75,1.88,0.5,0,2.38,NA,
27-1024.00,Graphic Designers,4,3.88,4,4,3.38,3.38,3,1.75,2.25,3.62,2.88,2.12,2.5,2.38,0,0,0,0,0.38,0,0,0,0,0,3.25,NA,
51-9022.00,"Grinding and Polishing Workers, Hand",3.12,3,2.12,2,2.88,2.62,3,1.25,2.88,2.88,2.88,2.5,3.75,3.5,3.12,2.75,2.75,3,2.25,1.12,1.62,2.75,0,1.38,2.75,1,
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3,2.88,2.25,1.75,3.12,2.88,3.25,2,3.12,3.38,3,2,3,3,3.12,2.5,3,3.75,2.62,2.12,1.88,2.88,0.25,1,2.12,NA,
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3.25,3.38,3.12,3.12,3.12,3.12,3,1.88,2.5,3.62,2.88,3,3.75,3.75,2.75,0,0,0,1.88,0,1.5,2.75,0.12,0,3,0,
47-4041.00,Hazardous Materials Removal Workers,3.88,3.5,2.88,2.75,4,3.62,3.25,2,3.12,3.38,3,3,3.12,2.88,3.75,2.62,2.62,3.12,1.62,1.25,2.25,3.25,0.25,1.25,3.12,NA,
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",4.62,4.5,3.81,3.5,4.75,4.5,3.69,3.5,3.25,3.56,3,2.38,1.5,1.81,1.31,1.12,0.69,1.38,0.94,0,0.62,1.06,0,0.5,3.44,NA,
21-1091.00,Health Education Specialists,4.12,4.38,3.75,3.38,3.38,3.88,3,2.38,2,2.12,2.88,2.62,2,1.88,1.88,0.12,0.25,0.25,0.5,0,0.62,0.62,0,0,3.88,NA,
15-1211.01,Health Informatics Specialists,4.75,4.75,3.88,3.88,4,4.88,4,3,3,3.38,3,2.62,1.75,2.25,0,0,0,0,0.62,0,0,0,0,0,3.88,NA,
25-1071.00,"Health Specialties Teachers, Postsecondary",4.88,5.12,3.25,3.75,3.75,3.88,3.75,3,2.12,2.12,3,2.75,1.12,1.62,1.12,0,0.5,0.5,0.75,0,0.62,0.88,0,0,4.62,NA,
21-1022.00,Healthcare Social Workers,4.88,4.62,4.12,3.62,4.38,4.12,3.62,2,2.88,1.75,3,2.88,0,1.62,0.62,1.38,0,1.62,0.75,0.25,1,0.38,0,0,4,NA,
29-2092.00,Hearing Aid Specialists,3.88,3.88,2.62,2.62,3,3.12,3.12,2,3,2.88,3,2.38,3.12,3.38,2,0.38,0.12,0.5,0.5,0,0,0.62,0,0.62,3.88,NA,
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",3.25,3.38,1.88,1.88,3.12,3,3.25,2,3.38,3.12,3.75,2.5,3,3,3.38,3,3,3.75,2,2,3,3.12,0.25,1.75,2.62,NA,
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3.88,3.62,2.88,2.62,3.88,3.75,3.5,2.38,3,3.62,2.75,2.88,3.62,3.75,3,2.38,1.75,2.62,2.38,1.38,2.5,3.75,1,2.12,2.88,NA,
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,3,3,2,1.75,3,3,2.88,1.88,2.88,3,3.12,3,3,2.75,4,4,4,4,2.75,2.62,2.12,2.75,0.88,2.88,2.88,NA,
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2.88,2.75,1.88,1.75,2.5,2.25,2.38,1.75,2.5,3,2.75,2.12,2.88,3,3.25,2.12,2.62,3,2.75,2.75,3,3.62,1.38,1.38,2.25,NA,
47-3012.00,Helpers--Carpenters,3.25,3,2.25,2.38,3,2.88,2.75,2,2.25,3.38,2.88,2.25,3,2.88,3,2.25,2.12,3,2,2.12,2.75,3.38,0.25,1.75,2.38,NA,
47-3013.00,Helpers--Electricians,3.62,3,2,2.12,3,3,3.12,1.62,2.5,3.12,3,2.25,3.25,3.25,3,2.12,1.38,2.25,2.12,1.62,2.5,3.62,0.38,0.62,2.75,NA,
47-5081.00,Helpers--Extraction Workers,2.88,2.75,2.25,2.25,3,2.88,2.88,2,2.75,3,3,2.75,3.12,3.25,3.88,3.25,3.12,3.88,2.25,2.62,3,3.62,0.5,2,2.38,NA,
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",3.62,2.88,2,2,2.62,2.62,2.88,1.88,2.88,3.25,3,2.38,3,3.12,3.12,2.12,1.75,2.88,2,2,3,4,1,2,2.5,NA,
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2.13,2.5,1.63,1.88,2.38,2.25,2.13,0.25,2.25,2.25,2.38,1.88,2.88,2.88,2.63,1.88,1.5,2.13,1.13,2.25,2.63,3.75,0.5,1.25,2.25,NA,
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",3.25,2.88,2,2,2.62,2.75,3,1.5,1.88,3.12,2.38,2,3,2.88,3,1.88,1.25,2.38,2,2.12,2.12,3.75,0.75,0.75,2.38,NA,
51-9198.00,Helpers--Production Workers,2.88,2.88,1.62,1.62,2.75,2.62,2.62,1.62,3,2.62,2.75,2,3.12,3,3,2.25,2.25,3,1.88,2,2.75,3.12,0.38,0.75,2.12,NA,
47-3016.00,Helpers--Roofers,2.75,2.5,2.12,1.75,2.88,2.5,2.25,1.75,2.62,3,2.5,2,2.75,3,2.88,2.25,2.12,2.88,2.38,2.62,3.38,3.88,1.25,1.88,2.12,NA,
47-4051.00,Highway Maintenance Workers,3.38,3,2,2,3,2.88,2.88,2,2.88,3.12,3,3,3,3,3.88,3.12,2.88,3.12,2.12,2.88,3.12,3.25,0,2.12,2.75,NA,
19-3093.00,Historians,4.62,4.75,3.5,3.12,3.5,3.62,3.25,1.5,2,1.88,2.75,2,0.5,0.5,0.38,0,0,0,0.5,0.12,0.62,0.5,0,0,3.88,NA,
25-1125.00,"History Teachers, Postsecondary",4.88,5,3.38,3.12,3.25,3.88,3.5,2,2,1.38,3,2.12,0,0,0,0,0,0,0.12,0,0,0,0,0,4.5,NA,
53-7041.00,Hoist and Winch Operators,3.63,2.88,2.13,2.13,2.88,2.38,2.88,1.5,3.38,2.88,2.75,2.63,2.63,2.75,3.63,3.25,2.63,3.5,2,2.38,1.88,3.5,0.13,2.13,2.38,NA,
49-9031.00,Home Appliance Repairers,3.25,3.12,2.75,2.12,3.12,3,3,2.12,2.88,3.75,3,2.88,3.62,3.75,3,2.12,1.88,2.12,2,0.75,2.38,3.62,0.12,1.5,2.75,NA,
31-1121.00,Home Health Aides,3.75,3.88,2.88,2.88,3.5,3.12,3,2,2.25,2.88,3,2.88,3,3,2.12,2,0.25,1.88,0,1.62,2.5,2.88,0,0.38,3.12,NA,
29-1229.02,Hospitalists,5.12,5.12,3.75,3.75,5.25,5,4.12,3.25,3.25,3,3,3,2.5,2.88,1.12,1.62,0,1.75,0.75,0.12,1.88,1.25,0,0,4.12,NA,
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",3.12,3.12,1.75,1.75,2.88,2.75,2.62,2,1.88,1.75,2.62,2.5,1.75,2,1.75,0.25,0,0,0,0.88,2,1.5,0,0,3,1,
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",3.75,4,3,2.38,3,3,3,2,2.38,2.12,2.88,2.25,2,2,0.75,0,0,0,0.38,0,0.5,0.62,0,0,3.25,NA,
17-2112.01,Human Factors Engineers and Ergonomists,5,4.88,4.12,3.88,4.12,4.88,4,4.12,2.75,4,2.88,2.12,0.38,1.25,0,0,0,0,0.5,0,0,0,0,0,3.75,NA,
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",4,4,2.62,2.25,3.25,3.12,3.12,2,2.25,2,2.38,2.5,0,1.38,0,0,0,0,0.38,0,0,0,0,0,3.25,1,
11-3121.00,Human Resources Managers,4.25,4.12,4,3.88,4,4.12,3.38,3.5,2.75,2.5,2.75,2.38,0.5,1.88,0,0,0,0,0.88,0,0,0,0,0,4.12,NA,
13-1071.00,Human Resources Specialists,4.12,4,3,3.12,3.75,4,3.5,2.25,2,2.12,2.38,2.12,0.5,1.38,0,0,0,0,0.38,0,0,0,0,0,3.88,NA,
51-8013.04,Hydroelectric Plant Technicians,4.12,3.38,2.88,2.62,4,3.62,3.5,2.88,3.62,3.38,3.75,2.88,2.75,3.25,3.25,2.5,2.5,3.38,2.25,0.25,2.5,3.5,0.62,2,3,NA,
11-3051.06,Hydroelectric Production Managers,4.25,4.38,3.38,3.25,4.12,3.88,4,3.38,3.75,3.38,3.38,3,2.75,2.5,1.75,1.88,1.88,2.75,2.38,0,0.38,1.75,0,1.38,3.75,NA,
19-2043.00,Hydrologists,5,4.88,4.12,4.12,4.25,4.5,3.88,4.38,3.12,3.62,2.88,2.25,2,2.25,2,0.5,0.25,0.38,1.12,0.12,1.38,1.38,0,0.38,3.5,NA,
19-2041.03,Industrial Ecologists,4.88,4.75,4,4,4.62,4.75,3.88,3.88,2.88,2.88,2.75,2,0,0,0,0,0,0,1.25,0,0,0,0,0,3.38,NA,
17-3026.00,Industrial Engineering Technologists and Technicians,4,4,3.75,3.62,3.88,4,3.75,3.62,3,3.75,3,2.75,2.38,2.38,1.75,1.38,1.38,2,1.75,1.12,1.12,0.38,0.38,0.5,3.12,NA,
17-2112.00,Industrial Engineers,4.25,4.38,3.62,3.5,4,4.12,4,3.5,2.75,3.88,3,2.75,2,1.5,1.75,1,1.5,1.88,1,0,0.38,0.25,0,0,3.25,NA,
49-9041.00,Industrial Machinery Mechanics,3.38,3.12,2.75,2.88,3.12,3.25,3.88,2.38,2.88,4,3,2.88,3.38,3.88,3.62,3,2.88,3.88,3,2.62,2.38,3.75,0.5,2.38,2.88,NA,
11-3051.00,Industrial Production Managers,4.25,4.12,4,3.88,4.12,4.25,4,3.62,3,3.25,3.12,2.88,2.25,2.5,1.75,1,2.12,2.25,1.88,1.12,1.62,1.5,0,0.62,3.75,NA,
53-7051.00,Industrial Truck and Tractor Operators,3.12,2.88,2,1.62,3,3,2.62,2,3,3,3.12,2.75,2.88,3,4,3.25,3.25,3.5,2,1.75,2.25,3.12,0.88,2,2.25,1,
19-3032.00,Industrial-Organizational Psychologists,4.75,4.88,4.25,4,4.25,4.62,4,3.88,2.75,2.38,2.75,2.5,0,0.75,0,0,0,0,0,0,0,0,0,0,4.25,NA,
15-1212.00,Information Security Analysts,4.25,4.12,3.75,3.25,4.12,4.12,3.88,2.88,3,3,3.12,2.88,1.75,2.12,0,0.12,0,0,0.38,0,0.12,0.75,0,0,3,NA,
15-1299.09,Information Technology Project Managers,4.12,4,3.88,3.25,4,4,3.88,3.12,2.75,3,2.88,2,0,1.5,0,0,0,0,0.12,0,0,0,0,0.12,3.5,NA,
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",3.5,3.62,2.25,2,3.12,3,3,2.38,3.25,3,3,2.25,3,3.12,2.62,1.38,2,2.12,1.62,0.62,1.5,2.25,0,0.62,3,NA,
25-9031.00,Instructional Coordinators,4.62,4.75,3.75,3.75,4,4.12,3.88,2.88,2.75,3,3.12,2.75,0.12,1.5,0,0,0,0,0.5,0.25,0.38,0,0,0,4.12,NA,
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",2.88,2.88,2.12,2.12,2.75,2.5,2.88,1.75,2.62,3,2.88,2.12,2.88,2.88,3.12,2.62,2.38,2.75,0.75,2.12,2.75,4.12,0.75,1.62,2.25,NA,
47-2132.00,"Insulation Workers, Mechanical",3,2.88,2.12,2,2.88,2.75,2.88,2,2.62,2.88,3,2.25,3.12,3,3,2,2,2,1.38,1,2.75,3.25,0.75,1,2.75,NA,
13-1032.00,"Insurance Appraisers, Auto Damage",4,4,2.62,2.62,3.62,3.75,3.12,2.5,2.38,2.75,3,2.25,1.88,1.5,1.5,0.75,0.75,0.75,0.38,0,0.38,1,0,0.88,3.12,1,
43-9041.00,Insurance Claims and Policy Processing Clerks,3.5,3.5,2.38,2.12,2.62,2.62,3,2.25,2.38,1.62,2.5,2.25,1,1.25,0.25,0.38,0.25,0.38,1.62,0.25,0.12,0.12,0,0.12,3,NA,
41-3021.00,Insurance Sales Agents,4.12,4.12,3,3,3.5,3.62,3,3,2.25,1.75,2.5,2.38,0,1.12,0.38,0,0,0,0.5,0,0,0,0,0,3.75,NA,
13-2053.00,Insurance Underwriters,3.88,3.88,2.75,2.75,3.75,3.75,3.38,2.88,2.25,2.12,2.75,2,0.75,1.62,0,0,0,0,0.5,0,0,0,0,0,3.12,1,
33-3021.06,Intelligence Analysts,4.75,4.25,3.75,3.62,4.12,4.62,4,2.88,3,3,3.12,2.25,0.38,1.5,0,0,0,0,0.25,0,0,0,0,0,4.12,NA,
27-1025.00,Interior Designers,4,4,4,4,3.75,3.88,3.5,2.88,2.62,4.12,2.88,2.62,0,1,0.62,0,0,0,0.12,0,0,0,0,0,3.38,NA,
27-3091.00,Interpreters and Translators,4.5,4.75,3,3,3.62,3.12,3.62,1.12,3,2.12,3.62,3,0.88,1.5,1,0.12,0,0,0.38,0.12,1.25,0.38,0,0,4.62,NA,
43-4111.00,"Interviewers, Except Eligibility and Loan",3.88,4,2.25,2.25,3.12,3.25,3.12,2.12,2.25,1.25,3,2.12,1.12,1.75,0.12,0.12,0,0,0.5,0,0,0,0,0,4,NA,
11-3031.03,Investment Fund Managers,4.38,4.25,3.62,3.5,4.25,4.38,3.88,4.25,3,2.75,3.25,2.88,0,1.88,0,0,0,0,0,0,0,0,0,0,3.75,NA,
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.88,2.88,1.88,1.88,2.75,2.62,2.75,0.88,2,2.12,2.12,2,2.75,2.5,2.62,0.88,1.12,1.12,1,0.88,2.38,3,0.25,0,2.25,NA,
51-9071.00,Jewelers and Precious Stone and Metal Workers,3.31,3.31,2.94,2.94,2.94,3,3,2.5,2.88,3.38,3,2.25,4.75,4.75,2.38,1.62,1.69,2.62,2.44,0.25,0,0.12,0,0,2.5,NA,
23-1023.00,"Judges, Magistrate Judges, and Magistrates",5,5,3.75,3.12,4,5,4,2.62,2.62,1.88,3,2.75,0,0.62,0,0.12,0,0.12,0,0,0,0,0,0,4.38,0,
23-1012.00,Judicial Law Clerks,4.75,4.38,3,2.88,3.75,4,3.62,2.88,2.38,1.88,2.88,2,0.25,1.5,0,0,0,0,0.75,0,0,0,0,0,3.88,1,
25-2012.00,"Kindergarten Teachers, Except Special Education",3.88,3.88,3.38,3.38,3.62,3.62,3.12,2.5,2.62,2.5,3,3,2.12,1.88,1.75,0,0,0,0.5,0,1.25,1.88,0,0.12,3.75,NA,
13-1075.00,Labor Relations Specialists,4.5,4.5,3.88,3.75,4.12,4.38,3.38,2.75,2.62,2.12,2.88,2.5,0,0,0,0,0,0,0.75,0,0,0,0,0,3.88,NA,
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",3.12,2.75,1.88,1.75,2.75,2.5,2.5,1.38,2.38,2.62,2.62,2.5,3,2.88,3.62,2.62,2.38,2.62,1.62,2.12,3.12,3.62,1,1.12,2.38,NA,
17-1012.00,Landscape Architects,4.12,4,3.88,3.88,3.88,3.88,3.88,3.12,2.88,4.12,3.25,3,1.75,1.88,0.88,0,0,0,0.25,0,0,0,0,0,3.88,0,
37-3011.00,Landscaping and Groundskeeping Workers,3,2.75,1.88,1.88,2.88,2.38,2.62,0.5,1.88,2.75,2.88,1.88,2.75,2.5,3.62,2.12,2.12,2.5,0.88,1.75,2.5,3.12,1.12,0.88,2,NA,
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3.12,3,2,2,3,2.75,2.88,2.12,2.75,2.88,3.12,2,3.12,3.12,3,2.12,2.62,3.25,1.62,1.25,2,2.62,0.5,0.88,2.25,NA,
51-6011.00,Laundry and Dry-Cleaning Workers,2.88,3,2,2,2.62,2.75,2.38,1.12,2.12,2,2.38,2,2.88,3,2.25,1.38,2.12,2.12,1,0.62,2.12,2.38,0.38,0,2.5,NA,
25-1112.00,"Law Teachers, Postsecondary",5.12,5.38,3.75,3.75,3.62,4.88,3.62,2.12,2.25,1.5,2.5,2,0,0.88,0,0,0,0,0.62,0,0,0,0,0,5.38,NA,
23-1011.00,Lawyers,5,5,3.88,3.75,4,4.38,3.88,2.38,2.5,2.5,3,2.62,0.38,2,0.25,0,0,0,0.5,0,0,0,0,0,4.5,0,
51-4192.00,"Layout Workers, Metal and Plastic",3.5,3.12,2.75,2.25,3.25,3.12,3.12,2.88,3.12,3.88,3.12,2.5,3.25,3.12,3,2,1.88,2.5,1.88,1.25,2,3,0.5,0.88,2.25,NA,
43-6012.00,Legal Secretaries and Administrative Assistants,3.88,4,2.62,2.25,3.12,3,3,1.88,2.12,1.88,2.12,2,0.88,1.75,0,0,0,0,1.88,0,0,0,0,0,3,NA,
25-4022.00,Librarians and Media Collections Specialists,4,4,3.12,3,3.12,3.25,3.5,2,2.75,1.88,2.75,2.25,1.75,1.62,1.25,0.25,0.25,0.38,2,0.25,0.12,1.5,0.38,0.25,3.5,NA,
43-4121.00,"Library Assistants, Clerical",3.5,3.75,2.12,2,2.88,2.62,3.12,1.88,2.62,2.25,2.62,2.12,2.12,2.12,1.75,0,0,0,0.62,0,1,2.25,0,0,3,NA,
25-1082.00,"Library Science Teachers, Postsecondary",5,4.88,3.12,3,3.62,4.12,3.88,2.38,2.25,2,2.88,2.38,0,0.88,0,0,0,0,0.38,0,0,0,0,0,4.75,NA,
25-4031.00,Library Technicians,3.88,3.88,2.12,2.12,3,3,3,2,2.62,2,2.75,2,1.88,2.38,2,0.12,0,0.12,1.12,0.12,1.12,2.75,0.38,0.12,3.25,NA,
29-2061.00,Licensed Practical and Licensed Vocational Nurses,4.12,4.12,3,2.88,4.12,4,3.62,2.38,3,2.88,3,3,3,3,3,2.12,1.12,2,1.88,1.62,2.75,3,0,0,3.5,NA,
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",3.75,4,2.25,2,4.12,3.12,2.88,0.75,3,2,3.25,3,2.25,1.5,2.38,2,1,2.12,0,1.88,3,2.62,0.5,1.38,3.25,NA,
53-3033.00,Light Truck Drivers,3,3.62,2,1.88,2.88,2.88,2.88,2,2.62,2.75,2.88,2.88,2.62,2.25,3.25,3,2.88,3,1.62,1.75,2.62,3,0.38,2,2.88,NA,
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",3,3,1.38,1.38,3,2.75,3,1.25,3,3,3,2.88,3.25,2.88,3.25,3.12,3.12,3.88,1.5,2.12,2.75,3,0.12,1.62,3,NA,
43-4131.00,Loan Interviewers and Clerks,4.12,4.12,3,2.75,3.38,3.75,3.62,3.25,2.75,2.38,3,2.5,0.38,2.12,0,0,0,0,0.5,0,0,0,0,0,3.38,NA,
13-2072.00,Loan Officers,4.12,4.12,2.62,2.5,3.5,3.88,3.12,3.12,2.12,1.12,2.38,2.12,1,1.62,0,0,0,0,0.25,0,0,0,0,0,3.62,1,
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",3,3.25,1.62,0.88,2.88,2.62,2.62,0.25,0.88,0.5,2.12,1.62,1.62,1.38,1.12,0,0,0,0,0.5,1.75,2.88,0,0,2.75,NA,
49-9094.00,Locksmiths and Safe Repairers,3.12,3.5,2.38,2.38,3,3,3.25,2,2.75,3.75,2.88,2.12,3.75,3.75,3,2,2,2.88,2.5,0.75,1.38,3.12,0,1.25,3,NA,
53-4011.00,Locomotive Engineers,3.88,3.88,2,2,3.38,3.12,3.25,2.25,3.75,3,4,3.5,3,3,3.88,4,3.75,4.38,2.5,2.25,1.5,2.12,0,2.12,3,NA,
11-9081.00,Lodging Managers,4,4,3.5,3.62,3.75,3.88,3.12,2.75,2.88,2.62,3.12,2.88,2.25,1.88,2,1.62,1.5,1.5,1.12,0,1.38,1.38,0,0.75,3.88,0,
45-4023.00,Log Graders and Scalers,3.38,3.5,2.38,2.12,3,3,3,2.88,3.12,3,3,2.88,2.75,2.75,3.12,2.25,2.12,2.38,1.25,1.75,2.12,2.25,0.25,0.88,2.88,NA,
45-4022.00,Logging Equipment Operators,2.88,3,2,2.12,2.88,2.75,3,2,3.12,3,2.88,2.12,3.12,2.5,4,3.62,3.25,4.12,2,1.75,1.88,2.75,0.12,2.12,2.62,NA,
13-1081.00,Logisticians,4.38,4.12,3.75,3.88,4.12,4.62,3.88,3.38,2.75,3.12,2.62,2.25,0,1.88,0,0,0,0,0.5,0,0,0,0,0,3.88,NA,
13-1081.02,Logistics Analysts,4,4,3.75,3.75,3.88,4,4,3.88,3,2.88,3.25,2.38,0.62,1.62,0,0,0,0,0.38,0,0,0,0,0,3.25,NA,
13-1081.01,Logistics Engineers,4.38,4.12,4,4,4.25,4.25,4,3.88,3,3.62,3.12,2.88,1.12,1.88,0,0,0,0,0.25,0,0,0,0,0,4,NA,
11-9199.08,Loss Prevention Managers,4,4,3.5,3.62,4,3.88,3.12,2.88,3,2.75,3.62,2.62,1.12,1.88,2.12,1.5,0,1.25,0.5,1.38,2,1.25,0,0,3.88,NA,
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",4.12,4.12,3.38,3.38,4.12,3.88,3.88,2.62,2.88,2.88,3,2.88,1.88,1.25,2,0.62,0.62,0.62,0.38,0.75,1.75,1.75,0,0.5,3.12,NA,
53-7063.00,Machine Feeders and Offbearers,3,3,1.88,1.75,2.75,2.75,2.88,1.75,3,2.62,2.88,2.5,3.25,2.88,2.75,2,3,3.25,2.25,1.62,2,2.75,0.38,0.38,2.75,NA,
51-4041.00,Machinists,3.12,3,2.88,2.88,3.12,3.25,3,2.88,3,3.88,3.25,2.62,3.38,3.62,3.12,2.62,3.12,3.12,2.62,2,2.12,3,0.62,1,2.88,NA,
29-2035.00,Magnetic Resonance Imaging Technologists,4.12,4.12,2.75,2.75,3.38,3.38,3.62,2.25,3,3,3.12,2.75,3.12,3.12,2.75,2,2.75,2.88,2,0.62,1.75,2.25,0,0,3.12,NA,
37-2012.00,Maids and Housekeeping Cleaners,2.88,3,1.88,1.88,2.12,2.12,2.12,1,2,1.88,2.12,2,2.12,2.12,1.88,0.62,0.5,0.38,0.88,1.25,2.88,3.12,0.62,0,2.12,0,
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",3,3,2,2,3,2.75,2.88,1.62,2.75,2.12,2.62,2.12,2.75,3.12,2.5,1.5,2,2.25,1.88,1,2.12,2.38,0.5,0.25,2.75,NA,
49-9071.00,"Maintenance and Repair Workers, General",3.75,3.25,2.38,2.38,3.25,3.25,3.75,2.25,3,3.75,3,2.25,3.25,3.38,3.62,2.25,2,2.38,2,1.75,2.5,3.75,1,1.38,3,NA,
49-9043.00,"Maintenance Workers, Machinery",3.38,3.12,2.25,2.12,3,3,3,2.12,3,3.12,3,2.5,3.25,3.12,3,1.88,2.62,3,2,1.5,2,3,0.12,1.88,2.25,NA,
39-5091.00,"Makeup Artists, Theatrical and Performance",4,3.88,3.62,3.88,3.12,3.25,3.25,2,2.88,3.88,3.12,2,3.88,3.38,2.5,0,0,0,1.38,1.12,1.62,2.38,0.12,0,2.88,NA,
13-1111.00,Management Analysts,4.25,4.75,4,3.75,4,4.25,3.88,3.12,2.12,2.62,3,2.5,0,0.62,0,0,0,0,0.88,0,0,0,0,0,4,NA,
39-5092.00,Manicurists and Pedicurists,2.75,2.75,2,2.12,2.5,2.38,2.12,0.38,2,2,2.25,2,3.12,3,1.5,0.25,0.25,0.25,0.62,0,0.12,0,0,0,2.75,1,
49-9095.00,Manufactured Building and Mobile Home Installers,3.88,3.75,2.88,2.88,3.25,3.63,3.5,2.25,3,4.25,3.25,3.13,3.38,3.5,4.13,3.63,3,4,3.38,3.13,3.25,3.88,0.63,1.88,2.88,NA,
